agent,timestamp,rss_mb
writer_agent,1744879381.6680613,86.82
writer_agent,1744879386.6742072,86.82
writer_agent,1744879391.6780357,86.82
writer_agent,1744879396.67881,91.30
writer_agent,1744879401.6793175,91.30
writer_agent,1744879406.6801264,90.80
writer_agent,1744879411.681429,87.30
writer_agent,1744879416.6822968,87.30
writer_agent,1744879421.6854339,86.30
writer_agent,1744879426.6907208,83.80
writer_agent,1744879431.69686,81.80
writer_agent,1744879436.7018657,81.30
writer_agent,1744879441.7027435,81.30
writer_agent,1744879446.707885,81.30
writer_agent,1744879451.713024,81.30
writer_agent,1744879456.7183018,81.80
writer_agent,1744879461.72354,82.30
writer_agent,1744879466.7287545,81.80
writer_agent,1744879471.733626,81.80
writer_agent,1744879476.7387645,81.80
writer_agent,1744879481.7441514,81.80
writer_agent,1744879486.7494192,81.80
writer_agent,1744879491.7546082,82.30
writer_agent,1744879496.7597456,82.30
writer_agent,1744879501.7648952,82.30
writer_agent,1744879506.7701163,82.30
writer_agent,1744879511.7752461,82.30
writer_agent,1744879516.7803996,82.30
writer_agent,1744879521.7862897,82.30
writer_agent,1744879526.7914395,82.30
writer_agent,1744879531.7966204,82.30
writer_agent,1744879536.8018289,82.80
writer_agent,1744879541.8070042,82.80
writer_agent,1744879546.8121593,82.80
writer_agent,1744879551.8172796,82.80
writer_agent,1744879556.822541,82.80
writer_agent,1744879561.8277154,82.80
writer_agent,1744879566.8328493,82.80
writer_agent,1744879571.8380408,83.30
writer_agent,1744879576.8431957,82.80
writer_agent,1744879581.8483157,82.80
writer_agent,1744879586.8535738,82.80
writer_agent,1744879591.859421,82.80
writer_agent,1744879596.8645551,82.80
writer_agent,1744879601.8696713,83.30
writer_agent,1744879606.8707962,85.30
writer_agent,1744879611.871739,85.80
writer_agent,1744879616.872534,85.80
writer_agent,1744879621.873872,85.30
writer_agent,1744879626.8802452,85.30
writer_agent,1744879631.88543,85.30
writer_agent,1744879636.8906593,85.30
